,country,show_id
324,United States,80105933
325,United States,80139506
326,India,80205314
327,Norway,80133200
328,India,80158545
329,India,80156939
330,Japan,80152537
331,Japan,80045673
332,Japan,70275937
333,Japan,70101321
334,Japan,70108386
335,Japan,70074559
336,Germany,80162197
337,United States,80184055
338,France,80160358
339,United States,60034929
340,India,80157134
341,Argentina,80141891
342,United States,80183897
343,China,80177834
344,United Kingdom,80121855
345,Argentina,80168028
346,Germany,80200913
347,Argentina,80190990
348,United States,80173269
349,Netherlands,80106140
350,Netherlands,80106137
351,United Kingdom,80118873
352,United Kingdom,70229514
353,Pakistan,80114155
354,Taiwan,70303288
355,United Kingdom,80118841
356,Canada,80102579
357,Taiwan,80111273
358,United States,80097438
359,China,80111710
360,Spain,80114419
361,United Kingdom,80118888
362,Switzerland,80128337
363,Taiwan,70303289
364,China,80111614
365,Taiwan,80111275
366,Spain,80103426
367,United Kingdom,80118889
368,United States,70278877
369,United States,80244311
370,United States,81183570
371,United States,80216665
372,Indonesia,81016328
373,United States,80239503
374,Indonesia,81016321
375,United Kingdom,80031666
376,United States,80995737
377,United States,81021976
378,Malaysia,81020161
379,Australia,80025390
380,United States,80196216
381,United States,80091741
382,United States,80115464
383,United States,80113144
384,Ireland,80041653
385,Indonesia,81016338
386,Vietnam,81002592
387,United States,81017724
388,Japan,80174918
389,China,80170301
390,United States,80189623
391,Mexico,80215730
392,South Korea,81161487
393,India,81177367
394,Indonesia,81016323
395,Indonesia,81016318
396,Czech Republic,80240840
397,Japan,80191369
398,United Kingdom,80242081
399,United States,80168222
400,South Korea,80220650
401,United Kingdom,80164032
402,Turkey,81158574
403,Canada,80237905
404,Turkey,81132440
405,United States,80117803
406,United States,81021243
407,United Kingdom,81004460
408,Indonesia,81016330
409,United States,70105130
410,Japan,81010662
411,United States,80141858
412,Argentina,81084225
413,Taiwan,80203920
414,Spain,80199806
415,Philippines,80084834
416,United States,80208273
417,United States,80145699
418,Australia,80204927
419,United States,70266684
420,South Korea,81166978
421,India,81177371
422,South Korea,81167029
423,India,70067230
424,India,80207446
425,India,80207447
426,Indonesia,81016324
427,United States,80192097
428,United States,70185045
429,United States,80217066
430,United States,70002129
431,United Kingdom,80191963
432,United States,80218099
433,United States,80199767
434,United States,80191665
435,United States,80161921
436,United States,81148672
437,United States,81169914
438,United States,81211714
439,France,80224362
440,Canada,80092857
441,Mexico,80244679
442,United Kingdom,81110394
443,United States,80067754
444,Canada,80189954
445,Canada,80094648
446,United Kingdom,80066073
447,France,80123740
448,France,80123741
449,Canada,80094260
450,France,80123742
451,United States,81000863
452,Hong Kong,70082255
453,United States,80197912
454,United States,80117454
455,Spain,80095197
456,United States,80045783
457,China,81185502
458,United States,81123469
459,Russia,80990221
460,Serbia,80202352
461,Spain,80235268
462,Colombia,80992500
463,United States,80241061
464,United States,80185048
465,India,81025088
466,United States,80173479
467,Israel,80081372
468,United States,81136744
469,Brazil,80221210
470,Turkey,81132444
471,United States,80182014
472,Spain,81010786
473,United States,81078456
474,Argentina,81105406
475,France,81061828
476,Spain,81062582
477,United States,81017316
478,United States,81018455
479,Switzerland,81110383
480,China,81200228
481,United States,70218316
482,United States,81018183
483,United Kingdom,80219941
484,United States,80064515
485,United States,80062011
486,United States,80197462
487,United States,81034741
488,Singapore,81075461
489,India,80205231
490,United Kingdom,80235864
491,United Kingdom,80158919
492,United States,80135414
493,United States,70299286
494,Canada,80017261
495,United States,81038022
496,United States,80186796
497,Hong Kong,81071891
498,United States,80224536
499,China,81017545
500,United States,80994444
501,United States,80017286
502,United States,70295169
503,United States,80039050
504,United States,81027753
505,United States,15815343
506,United States,70295176
507,Egypt,81043190
508,United States,80131240
509,India,70170182
510,India,70082633
511,India,70049619
512,India,80211135
513,India,70109884
514,India,70176967
515,India,70198040
516,United States,80038442
517,United Kingdom,80091310
518,Indonesia,70114484
519,United States,80066079
520,United States,80117443
521,United States,80010717
522,Peru,81020005
523,United Kingdom,81035748
524,United States,80135164
525,United States,70167128
526,United States,80118101
527,United States,80184569
528,United States,80113669
529,United Kingdom,81029301
530,Australia,81025251
531,United States,81025309
532,United Kingdom,81025263
533,United Kingdom,81025361
534,Canada,81025317
535,United States,80209609
536,Mexico,81094801
537,United States,81191195
538,United States,80218973
539,United States,80235999
540,United Kingdom,80236359
541,United Kingdom,80017240
542,United Kingdom,70118859
543,United States,80236356
544,United Kingdom,80236778
545,United Kingdom,80236470
546,United Kingdom,70213237
547,United Kingdom,80236357
548,United Kingdom,699257
549,United States,80237311
550,United Kingdom,80236574
551,United States,80988048
552,United States,80039069
553,United States,80046779
554,United States,60001650
555,Nigeria,81172848
556,Belgium,81034575
557,United States,81025800
558,Australia,81003997
559,United States,80207486
560,Mexico,80226951
561,United Kingdom,80232279
562,South Korea,80239666
563,India,81011973
564,Hong Kong,80144152
565,United States,81035749
566,Indonesia,80148162
567,United Kingdom,80211465
568,France,80171705
569,South Africa,81172729
570,Nigeria,81172895
571,United States,80206910
572,United Kingdom,80217627
573,United States,80178724
574,Turkey,81132442
575,India,81020066
576,Nigeria,81172723
577,Spain,80990336
578,Nigeria,81172909
579,United Kingdom,80214706
580,United States,80994011
581,United States,80208910
582,Nigeria,81172902
583,India,80998890
584,Indonesia,81047903
585,India,81026343
586,United States,70125931
587,Australia,80222326
588,Canada,70235768
589,United States,80177406
590,South Korea,81077044
591,United States,81081656
592,United States,81187847
593,South Korea,81053240
594,South Korea,81167011
595,United States,80043834
596,United States,81157840
597,United States,80244900
598,India,80211134
599,United Kingdom,70271601
600,United States,80136786
